MACROAREA,TOPIC,TRANSPORTOME,PMID
Cancer Progression,Angiogenesis,ICTs,25450338
Cancer Progression,Angiogenesis,ICTs,26791487
Cancer Progression,Angiogenesis,ICTs,24493751
Cancer Therapy,Cancer biomarkers,ICTs,25542783
Pancreatic Cancer,Cancer Hallmarks,ICTs,32770395
Lung Cancer,Cancer progression and therapy,Ion Channels,32772273
Lung Cancer,Cancer progression and therapy,Ion Channels,34610420
Melanoma,Cancer progression and therapy,ICTs,32737752
Pancreatic Cancer,Cancer progression and therapy,Ion Channels,33841132
Prostate Cancer,Cell population-specific screening,Ion Channels,32737754
Cancer Therapy,Chemoresistance and Chemosensitivity,ICTs,24493757
Cancer Therapy,Chemoresistance and Chemosensitivity,transporters,24317012
Cancer Therapy,Chemotherapy Adverse Effects,ICTs,34237188
GI cancer,Cholangiocarcinoma,transporters,32098199
Head and Neck,Clinical potential,Ion Channels,32789787
Ovarian Cancer,Clinical potential,Ion Channels,23683551
GI cancer,Colorectal cancer (CRC),Ion Channels,31636470
GI cancer,Colorectal cancer (CRC),ICTs,32662230
GI cancer,Gastric cancer,ICTs,32104192
GI cancer,Gastric cancer,ICTs,33856653
GI cancer,GI Tract Cancer,ICTs,32875386
Brain Tumor,Glioma Malignancy,Ion Channels,32930879
GI cancer,Liver Cancer,ICTs,31486734
Cancer Therapy,Ion channel inhibitors as anticancer therapeutics,Ion Channels,32865696
Apoptosis,Life/death decisions in cancer cells ,Ion Channels,24493752
Apoptosis,Life/death decisions in cancer cells ,Ion Channels,25450339
Cancer Progression,Metastasis,ICTs,24493750
Cancer Progression,Metastasis,ICTs,35137308
Cancer Progression,Metastasis,ICTs,24493741
Cancer Progression,Metastasis,ICTs,25445667
Ovarian Cancer,Cancer Therapy,Ion Channels,33562306
Pancreatic Cancer,PDAC and healthy pancreas,Ion Channels,33178018
Brain Tumor,Metastasis,Ion Channels,27424110
Cancer Therapy,Radio-therapy,ICTs,32737751
Cancer Therapy,Therapeutic potential,Ion Channels,24493756
Cancer Therapy,Therapeutic potential,ICTs,35018530
Cancer Therapy,Therapeutic potential,ICTs,32715321
Cancer Progression,Tumor development,ICTs,25852478
Breast Cancer,Tumor Microenvironment,Ion Channels,32761457
Breast Cancer,Tumor Microenvironment,ICTs,34291319
